alert_id,alert_type,is_sar,tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp
84,fan_in,True,9,70598,924,TRANSFER,938.59,2017-01-01T00:00:00Z
59,fan_in,True,16,32452,1279,TRANSFER,949.13,2017-01-01T00:00:00Z
64,fan_in,True,46,63179,2135,TRANSFER,264.86,2017-01-01T00:00:00Z
297,fan_in,True,48,69502,51194,TRANSFER,686.88,2017-01-01T00:00:00Z
189,fan_in,True,51,30582,51014,TRANSFER,373.27,2017-01-01T00:00:00Z
19,fan_in,True,69,65196,2645,TRANSFER,879.97,2017-01-01T00:00:00Z
126,fan_in,True,97,61014,809,TRANSFER,104.74,2017-01-01T00:00:00Z
93,fan_in,True,130,72736,50841,TRANSFER,946.31,2017-01-01T00:00:00Z
131,fan_in,True,136,10165,50559,TRANSFER,318.21,2017-01-01T00:00:00Z
65,fan_in,True,148,82709,2668,TRANSFER,563.79,2017-01-01T00:00:00Z
292,fan_in,True,155,36169,1137,TRANSFER,871.18,2017-01-01T00:00:00Z
154,fan_in,True,157,30052,3437,TRANSFER,886.68,2017-01-01T00:00:00Z
123,fan_in,True,160,81023,3363,TRANSFER,686.0,2017-01-01T00:00:00Z
184,fan_in,True,163,30573,53649,TRANSFER,100.65,2017-01-01T00:00:00Z
118,fan_in,True,173,34509,52007,TRANSFER,218.1,2017-01-01T00:00:00Z
68,fan_in,True,184,83932,1163,TRANSFER,678.79,2017-01-01T00:00:00Z
14,fan_in,True,210,53566,54337,TRANSFER,348.19,2017-01-01T00:00:00Z
116,fan_in,True,227,72918,1519,TRANSFER,106.98,2017-01-01T00:00:00Z
176,fan_in,True,231,8270,53190,TRANSFER,478.35,2017-01-01T00:00:00Z
233,fan_in,True,233,35391,52936,TRANSFER,663.42,2017-01-01T00:00:00Z
271,fan_in,True,237,3045,3946,TRANSFER,462.4,2017-01-01T00:00:00Z
248,fan_in,True,260,65244,1664,TRANSFER,118.52,2017-01-01T00:00:00Z
237,fan_in,True,286,23936,53653,TRANSFER,209.24,2017-01-01T00:00:00Z
267,fan_in,True,292,3460,53695,TRANSFER,500.15,2017-01-01T00:00:00Z
243,fan_in,True,337,15652,4284,TRANSFER,173.57,2017-01-01T00:00:00Z
49,fan_in,True,341,36763,52609,TRANSFER,449.51,2017-01-01T00:00:00Z
155,fan_in,True,343,60094,51197,TRANSFER,299.91,2017-01-01T00:00:00Z
16,fan_in,True,391,17528,3204,TRANSFER,567.07,2017-01-01T00:00:00Z
47,fan_in,True,393,85947,1862,TRANSFER,362.33,2017-01-01T00:00:00Z
33,fan_in,True,404,67663,53216,TRANSFER,622.31,2017-01-01T00:00:00Z
214,fan_in,True,448,11302,52323,TRANSFER,824.43,2017-01-01T00:00:00Z
217,fan_in,True,454,92691,3919,TRANSFER,566.59,2017-01-01T00:00:00Z
22,fan_in,True,462,8675,3189,TRANSFER,443.04,2017-01-01T00:00:00Z
173,fan_in,True,463,3372,2558,TRANSFER,247.36,2017-01-01T00:00:00Z
17,fan_in,True,488,7406,50160,TRANSFER,865.52,2017-01-01T00:00:00Z
100,fan_in,True,510,80,1123,TRANSFER,190.39,2017-01-01T00:00:00Z
90,fan_in,True,551,96468,568,TRANSFER,946.41,2017-01-01T00:00:00Z
145,fan_in,True,565,45903,2096,TRANSFER,395.94,2017-01-01T00:00:00Z
247,fan_in,True,582,65578,51921,TRANSFER,382.85,2017-01-01T00:00:00Z
139,fan_in,True,602,50442,3750,TRANSFER,871.21,2017-01-01T00:00:00Z
226,fan_in,True,666,9538,53684,TRANSFER,754.21,2017-01-01T00:00:00Z
29,fan_in,True,680,81258,814,TRANSFER,811.03,2017-01-01T00:00:00Z
55,fan_in,True,690,34506,1553,TRANSFER,631.57,2017-01-01T00:00:00Z
476,fan_out,True,699,644,50580,TRANSFER,828.86,2017-01-01T00:00:00Z
135,fan_in,True,711,39471,52107,TRANSFER,482.36,2017-01-01T00:00:00Z
141,fan_in,True,720,26636,1811,TRANSFER,969.76,2017-01-01T00:00:00Z
222,fan_in,True,749,20340,52295,TRANSFER,525.86,2017-01-01T00:00:00Z
291,fan_in,True,768,45346,53619,TRANSFER,392.19,2017-01-01T00:00:00Z
190,fan_in,True,801,94569,863,TRANSFER,144.51,2017-01-01T00:00:00Z
185,fan_in,True,808,51331,64,TRANSFER,112.28,2017-01-01T00:00:00Z
256,fan_in,True,814,76310,3475,TRANSFER,905.85,2017-01-01T00:00:00Z
146,fan_in,True,816,91221,193,TRANSFER,474.11,2017-01-01T00:00:00Z
294,fan_in,True,821,32357,3787,TRANSFER,793.24,2017-01-01T00:00:00Z
282,fan_in,True,826,8476,1494,TRANSFER,112.65,2017-01-01T00:00:00Z
298,fan_in,True,880,36915,312,TRANSFER,746.94,2017-01-01T00:00:00Z
78,fan_in,True,895,19866,1227,TRANSFER,180.55,2017-01-01T00:00:00Z
269,fan_in,True,897,47070,607,TRANSFER,550.12,2017-01-01T00:00:00Z
280,fan_in,True,933,39264,51443,TRANSFER,581.92,2017-01-01T00:00:00Z
193,fan_in,True,960,54479,51355,TRANSFER,443.76,2017-01-01T00:00:00Z
88,fan_in,True,979,45884,3283,TRANSFER,961.88,2017-01-01T00:00:00Z
0,fan_in,True,1002,114,51389,TRANSFER,221.26,2017-01-01T00:00:00Z
251,fan_in,True,1023,5973,51318,TRANSFER,233.48,2017-01-01T00:00:00Z
13,fan_in,True,1038,83483,52540,TRANSFER,909.76,2017-01-01T00:00:00Z
122,fan_in,True,1067,41387,51049,TRANSFER,703.32,2017-01-01T00:00:00Z
279,fan_in,True,1075,96355,1930,TRANSFER,546.01,2017-01-01T00:00:00Z
112,fan_in,True,1098,90810,50613,TRANSFER,673.77,2017-01-01T00:00:00Z
31,fan_in,True,1128,7032,53766,TRANSFER,471.87,2017-01-01T00:00:00Z
94,fan_in,True,1134,97765,702,TRANSFER,775.87,2017-01-01T00:00:00Z
188,fan_in,True,1136,17311,473,TRANSFER,896.4,2017-01-01T00:00:00Z
223,fan_in,True,1137,51782,1944,TRANSFER,874.54,2017-01-01T00:00:00Z
157,fan_in,True,1148,71702,52823,TRANSFER,241.57,2017-01-01T00:00:00Z
138,fan_in,True,1158,65762,51476,TRANSFER,266.23,2017-01-01T00:00:00Z
95,fan_in,True,1162,85383,53635,TRANSFER,888.6,2017-01-01T00:00:00Z
273,fan_in,True,1166,47009,1268,TRANSFER,943.43,2017-01-01T00:00:00Z
255,fan_in,True,1175,34560,53185,TRANSFER,201.4,2017-01-01T00:00:00Z
99,fan_in,True,1196,36377,53145,TRANSFER,934.26,2017-01-01T00:00:00Z
201,fan_in,True,1198,18406,53506,TRANSFER,723.28,2017-01-01T00:00:00Z
144,fan_in,True,1230,39601,52406,TRANSFER,905.28,2017-01-01T00:00:00Z
5,fan_in,True,1267,28113,3537,TRANSFER,269.69,2017-01-01T00:00:00Z
12,fan_in,True,1275,71341,3001,TRANSFER,725.61,2017-01-01T00:00:00Z
24,fan_in,True,1288,25090,1024,TRANSFER,821.65,2017-01-01T00:00:00Z
114,fan_in,True,1308,97658,53201,TRANSFER,739.14,2017-01-01T00:00:00Z
270,fan_in,True,1355,94215,51186,TRANSFER,149.92,2017-01-01T00:00:00Z
181,fan_in,True,1360,52562,53945,TRANSFER,972.07,2017-01-01T00:00:00Z
36,fan_in,True,1361,21290,1019,TRANSFER,472.16,2017-01-01T00:00:00Z
212,fan_in,True,1369,73447,52827,TRANSFER,773.57,2017-01-01T00:00:00Z
108,fan_in,True,1371,57020,51030,TRANSFER,481.13,2017-01-01T00:00:00Z
23,fan_in,True,1377,49786,51337,TRANSFER,842.22,2017-01-01T00:00:00Z
89,fan_in,True,1382,14006,52491,TRANSFER,738.07,2017-01-01T00:00:00Z
60,fan_in,True,1394,46093,51092,TRANSFER,688.27,2017-01-01T00:00:00Z
113,fan_in,True,1404,11077,3264,TRANSFER,316.01,2017-01-01T00:00:00Z
241,fan_in,True,1424,19735,53828,TRANSFER,807.14,2017-01-01T00:00:00Z
177,fan_in,True,1431,11617,50643,TRANSFER,695.61,2017-01-01T00:00:00Z
224,fan_in,True,1434,37876,2399,TRANSFER,337.4,2017-01-01T00:00:00Z
62,fan_in,True,1460,26311,53160,TRANSFER,222.34,2017-01-01T00:00:00Z
211,fan_in,True,1478,53234,50773,TRANSFER,177.13,2017-01-01T00:00:00Z
115,fan_in,True,1480,39707,475,TRANSFER,333.88,2017-01-01T00:00:00Z
