ALERT_ID,ACCOUNT_ID,CUSTOMER_ID,EVENT_DATE,ALERT_TYPE,ACCOUNT_TYPE,IS_SAR
0,114,C_114,20170101,fan_in,INDIVIDUAL,YES
0,51389,C_51389,20170101,fan_in,INDIVIDUAL,YES
0,15701,C_15701,20170316,fan_in,INDIVIDUAL,YES
0,45047,C_45047,20170529,fan_in,INDIVIDUAL,YES
0,9332,C_9332,20170811,fan_in,INDIVIDUAL,YES
0,44975,C_44975,20171024,fan_in,INDIVIDUAL,YES
0,99073,C_99073,20180106,fan_in,INDIVIDUAL,YES
0,85740,C_85740,20180321,fan_in,INDIVIDUAL,YES
0,20663,C_20663,20180603,fan_in,INDIVIDUAL,YES
1,74144,C_74144,20170101,fan_in,INDIVIDUAL,YES
1,52283,C_52283,20170101,fan_in,INDIVIDUAL,YES
1,47670,C_47670,20170131,fan_in,INDIVIDUAL,YES
1,3572,C_3572,20170302,fan_in,INDIVIDUAL,YES
1,39439,C_39439,20170401,fan_in,INDIVIDUAL,YES
1,91825,C_91825,20170501,fan_in,INDIVIDUAL,YES
1,61308,C_61308,20170531,fan_in,INDIVIDUAL,YES
1,74143,C_74143,20170630,fan_in,INDIVIDUAL,YES
2,72631,C_72631,20170101,fan_in,INDIVIDUAL,YES
2,50987,C_50987,20170101,fan_in,INDIVIDUAL,YES
2,97995,C_97995,20170110,fan_in,INDIVIDUAL,YES
2,5421,C_5421,20170119,fan_in,INDIVIDUAL,YES
2,52718,C_52718,20170128,fan_in,INDIVIDUAL,YES
2,43858,C_43858,20170206,fan_in,INDIVIDUAL,YES
2,54668,C_54668,20170215,fan_in,INDIVIDUAL,YES
2,10585,C_10585,20170224,fan_in,INDIVIDUAL,YES
2,4697,C_4697,20170305,fan_in,INDIVIDUAL,YES
2,15222,C_15222,20170314,fan_in,INDIVIDUAL,YES
3,60708,C_60708,20170101,fan_in,INDIVIDUAL,YES
3,2904,C_2904,20170101,fan_in,INDIVIDUAL,YES
3,52684,C_52684,20170201,fan_in,INDIVIDUAL,YES
3,27289,C_27289,20170304,fan_in,INDIVIDUAL,YES
3,27882,C_27882,20170404,fan_in,INDIVIDUAL,YES
3,77826,C_77826,20170505,fan_in,INDIVIDUAL,YES
3,42249,C_42249,20170605,fan_in,INDIVIDUAL,YES
3,3513,C_3513,20170706,fan_in,INDIVIDUAL,YES
3,52309,C_52309,20170806,fan_in,INDIVIDUAL,YES
4,6101,C_6101,20170102,fan_in,INDIVIDUAL,YES
4,3686,C_3686,20170102,fan_in,INDIVIDUAL,YES
4,67502,C_67502,20170213,fan_in,INDIVIDUAL,YES
4,1714,C_1714,20170327,fan_in,INDIVIDUAL,YES
4,36810,C_36810,20170508,fan_in,INDIVIDUAL,YES
4,38571,C_38571,20170619,fan_in,INDIVIDUAL,YES
5,28113,C_28113,20170101,fan_in,INDIVIDUAL,YES
5,3537,C_3537,20170101,fan_in,INDIVIDUAL,YES
5,17470,C_17470,20170204,fan_in,INDIVIDUAL,YES
5,71077,C_71077,20170310,fan_in,INDIVIDUAL,YES
5,1115,C_1115,20170413,fan_in,INDIVIDUAL,YES
5,8800,C_8800,20170517,fan_in,INDIVIDUAL,YES
5,34596,C_34596,20170620,fan_in,INDIVIDUAL,YES
5,63048,C_63048,20170724,fan_in,INDIVIDUAL,YES
5,95016,C_95016,20170827,fan_in,INDIVIDUAL,YES
6,74624,C_74624,20170101,fan_in,INDIVIDUAL,YES
6,1357,C_1357,20170101,fan_in,INDIVIDUAL,YES
6,27321,C_27321,20170324,fan_in,INDIVIDUAL,YES
6,12022,C_12022,20170614,fan_in,INDIVIDUAL,YES
6,23080,C_23080,20170904,fan_in,INDIVIDUAL,YES
6,96744,C_96744,20171125,fan_in,INDIVIDUAL,YES
6,91278,C_91278,20180215,fan_in,INDIVIDUAL,YES
6,97378,C_97378,20180508,fan_in,INDIVIDUAL,YES
6,52588,C_52588,20180729,fan_in,INDIVIDUAL,YES
7,71769,C_71769,20170101,fan_in,INDIVIDUAL,YES
7,3361,C_3361,20170101,fan_in,INDIVIDUAL,YES
7,9452,C_9452,20170110,fan_in,INDIVIDUAL,YES
7,88959,C_88959,20170119,fan_in,INDIVIDUAL,YES
7,23358,C_23358,20170128,fan_in,INDIVIDUAL,YES
7,51796,C_51796,20170206,fan_in,INDIVIDUAL,YES
7,1921,C_1921,20170215,fan_in,INDIVIDUAL,YES
7,83528,C_83528,20170224,fan_in,INDIVIDUAL,YES
7,34434,C_34434,20170305,fan_in,INDIVIDUAL,YES
8,2413,C_2413,20170103,fan_in,INDIVIDUAL,YES
8,2838,C_2838,20170103,fan_in,INDIVIDUAL,YES
8,28387,C_28387,20170313,fan_in,INDIVIDUAL,YES
8,49921,C_49921,20170521,fan_in,INDIVIDUAL,YES
8,4396,C_4396,20170729,fan_in,INDIVIDUAL,YES
8,47368,C_47368,20171006,fan_in,INDIVIDUAL,YES
9,68541,C_68541,20170101,fan_in,INDIVIDUAL,YES
9,3170,C_3170,20170101,fan_in,INDIVIDUAL,YES
9,64649,C_64649,20170210,fan_in,INDIVIDUAL,YES
9,1498,C_1498,20170322,fan_in,INDIVIDUAL,YES
9,12042,C_12042,20170501,fan_in,INDIVIDUAL,YES
